Country,Capital City,City Latitude,City Longitude
Abkhazia,Sukhumi,43.0033629,41.0192741
Afghanistan,Kabul,34.5260131,69.1776476
Akrotiri and Dhekelia,Episkopi Cantonment,34.6704337,32.9018553
Albania,Tirana,41.31588575,19.900912164461147
Algeria,Algiers,36.7753606,3.0601882
American Samoa,Pago Pago,-14.2754786,-170.7048298
Andorra,Andorra la Vella,42.5069391,1.5212467
Angola,Luanda,-8.8272699,13.2439512
Anguilla,The Valley,18.2145861,-63.0517759
Antigua and Barbuda,St. John's,17.1184569,-61.8448509
Argentina,Buenos Aires,-34.6075682,-58.4370894
Armenia,Yerevan,40.1776121,44.5125849
Artsakh,Stepanakert,39.8275212,46.7699938
Aruba,Oranjestad,12.5268736,-70.0356845
Ascension Island,Georgetown,-7.9289722,-14.4133993
Australia,Canberra,-35.2975906,149.1012676
Austria,Vienna,48.2083537,16.3725042
Azerbaijan,Baku,40.3754434,49.8326748
Bahamas,Nassau,25.0783456,-77.3383331
Bahrain,Manama,26.2235041,50.5822436
Bangladesh,Dhaka,23.7593572,90.3788136
Barbados,Bridgetown,13.0977832,-59.6184184
Belarus,Minsk,53.902334,27.5618791
Belgium,Brussels,50.8436709,4.3674366933879565
Belize,Belmopan,17.250199,-88.770018
Benin,Porto-Novo,6.4990718,2.6253361
Bermuda,Hamilton,32.2956076,-64.7827048
Bhutan,Thimphu,27.4727617,89.629548
Bosnia and Herzegovina,Sarajevo,43.8519774,18.3866868
Botswana,Gaborone,-24.6581357,25.9088474
Brazil,Brasília,-10.3333333,-53.2
British Virgin Islands,Road Town,18.4257128,-64.6232227
Brunei,Bandar Seri Begawan,4.8895453,114.9417574
Bulgaria,Sofia,42.6978634,23.3221789
Burkina Faso,Ouagadougou,12.368148,-1.527085
Burundi,Gitega,-3.4284953,29.9249718
Cambodia,Phnom Penh,11.568271,104.9224426
Cameroon,Yaoundé,3.8689867,11.5213344
Canada,Ottawa,45.421106,-75.690308
Cape Verde,Praia,14.9160169,-23.5096132
Cayman Islands,George Town,19.2953549,-81.3807776
Central African Republic,Bangui,4.3907153,18.5509126
Chad,N'Djamena,12.1191543,15.0502758
